date,hash_add_etherscan,mint_link_cryptoslam,nft,price_eth,price_usd,seller_profil_cryptoslam,seller_add,buyer_profil_cryptoslam,buyer_add
6 minutes ago,https://explorer.roninchain.com/tx/0x8b30b83514dd5d2048d7fd01822ba9779210bda2b7d69549fcd3c51e323cab8e,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6566180,Axie Infinity (SN# 6566180),0.06700 ETH,$188.92,https://www.cryptoslam.io/owner/0xe4d645154d35d1513eb51971882d856caa1213c5,0xe4d645154d35d1513eb51971882d856caa1213c5,https://www.cryptoslam.io/owner/0xf41889814cbd9534c6db5ff365449558ce02e456,0xf41889814cbd9534c6db5ff365449558ce02e456
7 minutes ago,https://explorer.roninchain.com/tx/0x5c71cda417619746dbdeabf824e1ac27a372484ef46a07a9ba447fdf88b95bb1,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6399346,Axie Infinity (SN# 6399346),0.06000 ETH,$169.19,https://www.cryptoslam.io/owner/0xd59f020a1d9381521f1687e2a1b037d17ec6cf55,0xd59f020a1d9381521f1687e2a1b037d17ec6cf55,https://www.cryptoslam.io/owner/0xa05b9ddcc3e5caf2aac56964e01683e7f8b0367a,0xa05b9ddcc3e5caf2aac56964e01683e7f8b0367a
7 minutes ago,https://explorer.roninchain.com/tx/0x763581dbf628cdf8d390eb08d791d5bbac3c4fe686fe07dccce36509ad26fa4d,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6440768,Axie Infinity (SN# 6440768),0.09248 ETH,$260.76,https://www.cryptoslam.io/owner/0xbd50923a387f90666fe563af741f5b2d45036728,0xbd50923a387f90666fe563af741f5b2d45036728,https://www.cryptoslam.io/owner/0xa7945746453d1586c56ed27b1e300b163ffd3023,0xa7945746453d1586c56ed27b1e300b163ffd3023
7 minutes ago,https://explorer.roninchain.com/tx/0xebb2807ebfc0109c6da60458cbd194240910750bf8ce557ec7216504cac63794,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6576199,Axie Infinity (SN# 6576199),0.06755 ETH,$190.48,https://www.cryptoslam.io/owner/0x0ba0148ad3ce28910596011b6716ff7d1803b27e,0x0ba0148ad3ce28910596011b6716ff7d1803b27e,https://www.cryptoslam.io/owner/0xc91ba55c9c014930efc2948d2d2515db031261ce,0xc91ba55c9c014930efc2948d2d2515db031261ce
7 minutes ago,https://explorer.roninchain.com/tx/0xe612f8090d2d0e3fe70f22877df6a6f52baea6dbf8156603155b14e4221af279,https://www.cryptoslam.io/axie-infinity/mint/2002917,Axie #2002917,0.05100 ETH,$143.81,https://www.cryptoslam.io/owner/0xa3dfa940df0a8de710bf0fe733ef3e9a62269782,0xa3dfa940df0a8de710bf0fe733ef3e9a62269782,https://www.cryptoslam.io/owner/0x13dc185c41769b02785e5ac9aca80d1db63d76ca,0x13dc185c41769b02785e5ac9aca80d1db63d76ca
7 minutes ago,https://explorer.roninchain.com/tx/0xd15b22c3a2bb28ec58dc8c9312787ed53335ca3f33eefaf744f4ea3dd43bb4c2,https://www.cryptoslam.io/axie-infinity/mint/5247052,Axie #5247052,0.05684 ETH,$160.26,https://www.cryptoslam.io/owner/0x4af0ca1ccb837229b159d0b4be40f2cb0a377e8f,0x4af0ca1ccb837229b159d0b4be40f2cb0a377e8f,https://www.cryptoslam.io/owner/0x4200c8f31607e21ac0ac77bd6d923e5767dbe6db,0x4200c8f31607e21ac0ac77bd6d923e5767dbe6db
7 minutes ago,https://explorer.roninchain.com/tx/0x74c8c601e9caa57358148a57844b47b89e9d32ca9f781762c98c19cc883ad1be,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6385295,Axie Infinity (SN# 6385295),0.15504 ETH,$437.19,https://www.cryptoslam.io/owner/0x071fd4bc5ce86312857c89f64da57ba03e4f9aaf,0x071fd4bc5ce86312857c89f64da57ba03e4f9aaf,https://www.cryptoslam.io/owner/0x5a7d51bb9adcf697877b8d4d44e586856dced500,0x5a7d51bb9adcf697877b8d4d44e586856dced500
7 minutes ago,https://explorer.roninchain.com/tx/0x95b54148afee65881db6daba79f65470f62ba7aec99978924b47c74a76eb1b90,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6566542,Axie Infinity (SN# 6566542),0.08983 ETH,$253.28,https://www.cryptoslam.io/owner/0x7da92f381ed2fb19cdad52dde86db9565eebe49b,0x7da92f381ed2fb19cdad52dde86db9565eebe49b,https://www.cryptoslam.io/owner/0x278851a9d5f6e093555ea6aadfbb1ab9994e96d3,0x278851a9d5f6e093555ea6aadfbb1ab9994e96d3
7 minutes ago,https://explorer.roninchain.com/tx/0xc7bf320350491ed814b052712802ae5ef9906b41267d5a8c028257ac5f2b02be,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6576804,Axie Infinity (SN# 6576804),0.05693 ETH,$160.54,https://www.cryptoslam.io/owner/0x193b83449639e6fa1c8b5d39c6ebf098f5810699,0x193b83449639e6fa1c8b5d39c6ebf098f5810699,https://www.cryptoslam.io/owner/0x2e08c34b06c74faafa73c2efbae3bf752a551793,0x2e08c34b06c74faafa73c2efbae3bf752a551793
7 minutes ago,https://explorer.roninchain.com/tx/0x8e9a6d284d089ade4320e49c771d2ff11e7e83790d26018419fca1cda3017f06,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6493314,Axie Infinity (SN# 6493314),0.08024 ETH,$226.27,https://www.cryptoslam.io/owner/0xfd337d51baa372902c67c17f3ee60293161a3d32,0xfd337d51baa372902c67c17f3ee60293161a3d32,https://www.cryptoslam.io/owner/0xf4e38ca2f5cdf32270bd152d099ee8697ae9e969,0xf4e38ca2f5cdf32270bd152d099ee8697ae9e969
7 minutes ago,https://explorer.roninchain.com/tx/0x4dc908ab3fa5506129f223abd0c1178707d78d33c0a582890c0a64699dd70c7b,https://www.cryptoslam.io/axie-infinity/mint/2743119,Axie #2743119,0.05000 ETH,$140.99,https://www.cryptoslam.io/owner/0x67d12f51275875bc9380353691907c47d709c115,0x67d12f51275875bc9380353691907c47d709c115,https://www.cryptoslam.io/owner/0x4662e4d0b9563eda1226df01a88243421ffcb5db,0x4662e4d0b9563eda1226df01a88243421ffcb5db
7 minutes ago,https://explorer.roninchain.com/tx/0xde7abe182394f86232fee2f28569d279cfc4953fed7edf7576068a4801323fbf,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6582480,Axie Infinity (SN# 6582480),0.08300 ETH,$234.04,https://www.cryptoslam.io/owner/0x8377eff6a4f48e5828b08d9ce254e4596626a707,0x8377eff6a4f48e5828b08d9ce254e4596626a707,https://www.cryptoslam.io/owner/0xcc6f198f351f337d758a951993e87c1a7c6a8fb4,0xcc6f198f351f337d758a951993e87c1a7c6a8fb4
7 minutes ago,https://explorer.roninchain.com/tx/0x2625037704443bf4c9bd91b34a4fc67629b66f3022f8c9f4da7a1d6e042a811b,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6575709,Axie Infinity (SN# 6575709),0.09639 ETH,$271.81,https://www.cryptoslam.io/owner/0x56b1e824072b7ed81cc90e739bd3563d12dbeff9,0x56b1e824072b7ed81cc90e739bd3563d12dbeff9,https://www.cryptoslam.io/owner/0x11698fe4d102dae9349cdb76731aea5f6ad06bda,0x11698fe4d102dae9349cdb76731aea5f6ad06bda
7 minutes ago,https://explorer.roninchain.com/tx/0x4a1f43c7ada8b371fb104d32ce517990aca615379ac6016be90178e321a4d2c3,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6568801,Axie Infinity (SN# 6568801),0.07800 ETH,$219.94,https://www.cryptoslam.io/owner/0x65f9d9901fa8eba36fd6251371254df1edf87431,0x65f9d9901fa8eba36fd6251371254df1edf87431,https://www.cryptoslam.io/owner/0x8ee2b5dc9cfc277420e25b35a4fb2fe7d01843dc,0x8ee2b5dc9cfc277420e25b35a4fb2fe7d01843dc
7 minutes ago,https://explorer.roninchain.com/tx/0xf4a0ae7ffa379f08bf35c7fdb6fe6a132d13fa1c6ae3bce1a5d65581f8d22596,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6570212,Axie Infinity (SN# 6570212),0.06494 ETH,$183.11,https://www.cryptoslam.io/owner/0xa799108db1cea448528a687859421a4646f5b6e4,0xa799108db1cea448528a687859421a4646f5b6e4,https://www.cryptoslam.io/owner/0xa2a4e0fe314b6cdef60b9d353d79d34ec08f4f3d,0xa2a4e0fe314b6cdef60b9d353d79d34ec08f4f3d
7 minutes ago,https://explorer.roninchain.com/tx/0x32486c366a52963828707438df4d02da747aebea3a2426f7e1d44455ec8abcf2,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6519391,Axie Infinity (SN# 6519391),0.13921 ETH,$392.54,https://www.cryptoslam.io/owner/0xcbe29af939bf4224e0f78eafb0a2cd56d1ec5b46,0xcbe29af939bf4224e0f78eafb0a2cd56d1ec5b46,https://www.cryptoslam.io/owner/0xa49f7c2492f6ff6842cc9b76f27b958bd31ec874,0xa49f7c2492f6ff6842cc9b76f27b958bd31ec874
7 minutes ago,https://explorer.roninchain.com/tx/0xe2eca36ecc61e5a3cab9551c36b6fcd0bb82a35192aaf7391d1941b4197b4599,https://www.cryptoslam.io/axie-infinity/mint/1732652,Axie #1732652,0.04400 ETH,$124.07,https://www.cryptoslam.io/owner/0x331dc81749333f67187431c9f68d17daf2e0b498,0x331dc81749333f67187431c9f68d17daf2e0b498,https://www.cryptoslam.io/owner/0xab2f41e2804af5f1569e7dea2e9ca8d87049f354,0xab2f41e2804af5f1569e7dea2e9ca8d87049f354
7 minutes ago,https://explorer.roninchain.com/tx/0xbd6a7a1f961f255e7200cc7084e8c8401d59fa30422ce0764f1e385927f0bc12,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6628836,Axie Infinity (SN# 6628836),0.08546 ETH,$240.96,https://www.cryptoslam.io/owner/0x6686d55b0bd0ae2dc38faa7916e18ba1effd81d0,0x6686d55b0bd0ae2dc38faa7916e18ba1effd81d0,https://www.cryptoslam.io/owner/0x59ad367f4bc4c4bbb98bb1d05c2a58ae2fe5ac8d,0x59ad367f4bc4c4bbb98bb1d05c2a58ae2fe5ac8d
7 minutes ago,https://explorer.roninchain.com/tx/0x59fc8d7bfa037a63ba0ccc0b34fc95575a5b373f697af5b11452e6b9c22380a1,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6040920,Axie Infinity (SN# 6040920),0.06633 ETH,$187.02,https://www.cryptoslam.io/owner/0x17e77ba3032c82591f1bd4316fcaacfc3229ef28,0x17e77ba3032c82591f1bd4316fcaacfc3229ef28,https://www.cryptoslam.io/owner/0xf41889814cbd9534c6db5ff365449558ce02e456,0xf41889814cbd9534c6db5ff365449558ce02e456
