rank,product_image,product_name,product_collection,date,price
22,https://lh3.googleusercontent.com/Bp4TfNdG1GzBzdwc0lPTo4ljJckolJYlUmLT2sK4KrXWN8EetqN7IZSHnwKA9ZDDyjPoWddZYGMr-jr2X_Mt_7K_xxyfxYqiFEv-M3k=s128,CryptoPunk #9416,CryptoPunks,30 days ago,$603k
23,https://lh3.googleusercontent.com/2pyiMrdVj7vzKk95PvJl4-TfK-0rFXX9xrmRggfJlyD6XTzRETQXL5fbVWKWNgQvyL5xVM-24OAsVZ3ytJFe5cRhKwCv3KbJoITbjA=s128,CryptoPunk #8907,CryptoPunks,13 days ago,$597k
24,https://lh3.googleusercontent.com/dAShebSD5WthMoHSCXTpNV0W-Q07UaLpMSXDEJgsyXcgy_QCW3ccMgBeVrkkvojIkqki92EuJNPa-6TyhNqPAnR7-Zn1c9dReRHqBA=s128,CryptoPunk #6566,CryptoPunks,12 days ago,$597k
25,https://lh3.googleusercontent.com/kb6lkN2mU5ao7BbpdHv9rcDdYmVKpR6ngwskQ20z8LOgvPYaH8A2Rndhkk9QJMXpkq4uMGBN3toeNYH90gHo6q7nJE-GVP9uXIPopg=s128,CryptoPunk #7090,CryptoPunks,about 1 month ago,$592k
26,https://lh3.googleusercontent.com/jncrZjuBftO-1xNVQ8cAXg6kWCpg1dJkfNDqg_QLjo7i0sSbuzQ3oTXB3Ugfxuhe869wm6YRLAlI9FvJvYYkEQYUHBS060XUe2zdTA=s128,CryptoPunk #6288,CryptoPunks,about 1 month ago,$592k
27,https://lh3.googleusercontent.com/MX9EYV4p2aNjelCNhDaENDWoPl5i5YyW22QrOmXU-dxk_flfHgHvoLVRnugTmcPNBKK5heUPi51gGuO6YLPuUgkTocNlPfels4lS=s128,CryptoPunk #9844,CryptoPunks,18 days ago,$585k
28,https://lh3.googleusercontent.com/Ccbu13VcYPHnOIKneu0YK1vCCwppM3XV9rtabaiFW1ND2tFQRpnZ_H97gf1MbtIPZgAEOw5yMQondiK6R2NUsNUPX-oLWPn-1gdzwt4=s128,CryptoPunk #4681,CryptoPunks,about 1 month ago,$584k
29,https://lh3.googleusercontent.com/shy3TuIsNsQUCU76McMh3c8tCZ36qw8shPeAHZIaxzab0QNl9gyvmDdMbHJQAsUkjcm7Wb1OWtcDcoxXdD8PtltWrGZSboI0Riuj1g=s128,CryptoPunk #4893,CryptoPunks,24 days ago,$584k
30,https://lh3.googleusercontent.com/ENmEgHar7-z9vMrZxL2_XhWgfJniM8Sd7-tMwNqj2mt7zZBknulzDtmpPfgiQl_YP9f_tGs81HzdcEogNGt7iFdS4DjfpUoO62vs=s128,CryptoPunk #6648,CryptoPunks,16 days ago,$579k
31,https://lh3.googleusercontent.com/oK5NYH2gjoyrf0AX-tfy2EBrPoVTDuo_s2T-E0xKmb684epwkFzFGq7QY70n7zOy1tlGAwWJ1r_9XaMm0WhKQ_rmW7UgAAB3qzhX8w=s128,CryptoPunk #2980,CryptoPunks,25 days ago,$574k
32,https://lh3.googleusercontent.com/9qXE9IksN0F7vQvbNPR0LVo-GDkdJPgks9f4eb6NquSYiiu-zRyGo_DPe04Gv8yab0LfeGlYPfKEbTUa2aYPQyX5=s128,CryptoPunk #8697,CryptoPunks,12 days ago,$573k
33,https://lh3.googleusercontent.com/f2WnvgVVuQi-NM5QshUCTEBX2_bNylXyTeXmK40FU7kbtqHbaKWjozFOahyZniGbOA3sciB2croo9EEIDRFa3V6eiJ22I7OIGgAduhQ=s128,CryptoPunk #1254,CryptoPunks,28 days ago,$571k
34,https://lh3.googleusercontent.com/pn1MZDll4SHIJMvAcP0ltBJIJ50SC9u5BTLEN_rR-Q2oxS1b8BTbjc85XzCcNwbRYnOk7YXayxOLOluOu97waqyqU4-_U2Xo9GbcZA=s128,CryptoPunk #6622,CryptoPunks,26 days ago,$565k
35,https://lh3.googleusercontent.com/HZ87xJ0qdMMRK8jbVcJNjkz7fr6jCiwzAnpMm-wm5t8z18E31FsljCJahI0nBDesLXTNSbfqLlODDCpZuewHUldqF-EQ2xnX-m_Exw=s128,CryptoPunk #4529,CryptoPunks,about 5 hours ago,$565k
36,https://lh3.googleusercontent.com/dlOOhNx-NKSU0uaXb2XwOTupT03aedG1FlmiFFQO7C-lQm28Xt4b2tk68O7buDetjLutTs8wKHxOjeiZJzNabD8=s128,CryptoPunk #3857,CryptoPunks,22 days ago,$561k
37,https://lh3.googleusercontent.com/TSFWG1-1ERhTUVx93gMybLGhT0OqwKaukD7oGsPgR9B1PCJG0UqvuG8cHtMg_w-Ebvy2mGi8H7k2yCHvv9s-0A7ds55KTHWwnjEC=s128,CryptoPunk #9678,CryptoPunks,26 days ago,$560k
38,https://lh3.googleusercontent.com/lnMXeIv9btSNPIlDAr3VYUfQGkmDwdrS2wNGgpXHpTkHj1tp4wNPEHNnm-naBQdODvqgXJmO4OjNbT6wpceSpxg=s128,CryptoPunk #6596,CryptoPunks,12 days ago,$553k
39,https://lh3.googleusercontent.com/WExZ-_PLhrhRkvAJ-SjmszEe0_lK2RkfFiMRQscmI8ClO08zkb6Z9uFidRc7Gmr89ULsBnkwi3eLzMZln3Od_W8RceEPiwcZeMXNjg=s128,CryptoPunk #6131,CryptoPunks,26 days ago,$553k
