rank,product_image,product_name,product_collection,date,price
22,https://lh3.googleusercontent.com/XK87bzYhPgHTQCEw9c4dcldTGKCD_6pzK9a2LOOca2SW--Xn3MsXuxFi_zbgZr7vH1CkNYj5QxDeYy3jLenmg1bRF9OqTpeaiq6fWA=s128,Fidenza #859,Art Blocks Curated,14 days ago,$814k
23,https://lh3.googleusercontent.com/PE0x5UpazuxkBUtu6-y8LNmjRb0JKe3ofMt1BZSG1N6NKD0X4XL-CrzaIjLQ7nUA9uMeh569VWA98e1LVyo6IijM-cDUY6MU0cPQ=s128,Fidenza #197,Art Blocks Curated,28 days ago,$796k
24,https://lh3.googleusercontent.com/66giH4IrGfnVHd7qyBMA7Wdpo9vLRQJQpWykUX7pFAwvPcMMvDC2jvEWYpCSTmYFu2m12PxBV0_Oqx_6qUEmi1BR6LjNS0rSCbUU=s128,Fidenza #167,Art Blocks Curated,27 days ago,$749k
25,https://lh3.googleusercontent.com/LAWkq4-5QuBkh5gtQS34qpn5bzi04k-q2ZO28KeypP6cxPd6KJUFLdTZBAfygbtMhYoSLTg7mMR-FmM-bcOxIXeVObDMQGFPjSOm=s128,Fidenza #351,Art Blocks Curated,14 days ago,$748k
26,https://lh3.googleusercontent.com/8vW-muoYITVk5wkhntWUpQATYfSpdEyaNL4mjc9WBwQ0yJhwLsEjKySNGMIhHmKdNB32bvDz3a__RYPom5zvpvvomUJ3B7ktNIjZ=s128,Fidenza #356,Art Blocks Curated,23 days ago,$727k
27,https://lh3.googleusercontent.com/YAvdsHMNG9wQnTMgTRVotJx-mRJEPDTwGuWcrxNpcDUSZIEG4hqsFwozpCqKaOxrXK13pPj5_IlB_l4PAY_HB6IHHCHiHzAZHrPtBQ=s128,Fidenza #1,Art Blocks Curated,21 days ago,$720k
28,https://lh3.googleusercontent.com/IBw8U9-lLuVWUHygnj7gHfBphMNDaKYs7zgfkh8AtiwQnJ2pf2jjz-K-R44jgI8DUBOrYxSQGniHYOpBRRB1HLIyjrghYaELJWURdg=s128,Ringers #664,Art Blocks Curated,about 1 month ago,$701k
29,https://lh3.googleusercontent.com/Rc00qaqd2sn7aI7LsLuX5XHekolL3iMkJUVK2Ml3w6gTuLK99kcMBA7mJtSDFmOL69txdxvFS1_HUSDvppkYNm5pZZsDt-oLgFxQRVs=s128,Elevated Deconstructions #152,Art Blocks Curated,29 days ago,$688k
30,https://lh3.googleusercontent.com/U3KMylDGmfngV6yoe7EPRhvuMPtj8pO8fXGslWReLDCvlekAhO7k1G9Z7H7fWHv1vl2MAJVjmUDsWzc5G5_-3qBYmK3yN2leup5Vdbw=s128,Fidenza #900,Art Blocks Curated,28 days ago,$680k
31,https://lh3.googleusercontent.com/m-PrSmIPjS9_TJogDA1GgiMeEp3_UditCSUwYll-PcYog7Z31JW3KJUnuPr4srF3ov3WGatdOVtvWAuf-PTClWk8NA=s128,Chromie Squiggle #1582,Art Blocks Curated,10 days ago,$671k
32,https://lh3.googleusercontent.com/_H0Bea7hHYzWGCDgHxNAiQ9M6NOZ7hAMLElWKiM9kqeaMdgeYx-SCADZ7TWf8DEMPWoeyRfUHKU05pMkzX1H37WbRL4h7UBMHMO5Uiw=s128,Unigrids #285,Art Blocks Curated,29 days ago,$666k
33,https://lh3.googleusercontent.com/SosKHXDV1oQW0LCnHb5z_Bn8gpWlkpbBoKGwUn2ey_Z_n4F2B7NKzR5TyhVAZfo_QA9JOgyKDUDONLTxp3zpuysgSCaHp4OCnZX2pQ=s128,Fidenza #296,Art Blocks Curated,25 days ago,$659k
34,https://lh3.googleusercontent.com/PE0x5UpazuxkBUtu6-y8LNmjRb0JKe3ofMt1BZSG1N6NKD0X4XL-CrzaIjLQ7nUA9uMeh569VWA98e1LVyo6IijM-cDUY6MU0cPQ=s128,Fidenza #197,Art Blocks Curated,28 days ago,$654k
35,https://lh3.googleusercontent.com/UZbxaLN27zPsSaQ1KDQnuEuSXAYBp-xE31dHEgZKEJgqKTEDOTUzZG0BdWtKYYmyfizq-4SS3mO3_u9SqbiEEOcH9Uon4-lavUib=s128,Subscapes #190,Art Blocks Curated,about 1 month ago,$654k
36,https://lh3.googleusercontent.com/7ZL_XbM1Xc39hIExe0xLp_fQsU16-WZ-YOgm1X-6Fywjdzae9XI7anYQ0WJmaIavtYN28UD2ovHPgLFK_DyDSd5KCpXNowZMip6_=s128,Fidenza #32,Art Blocks Curated,10 days ago,$636k
37,https://lh3.googleusercontent.com/3sSXbPolgMD7RBwddoB4doJd_6vVrMLKP_9haAfv7aPXVBch8dgzG-FwYn_x5WXFwYIGTtgcZvp1ohZkhSnzdwsQRl8erNb_elEb=s128,Fidenza #642,Art Blocks Curated,3 days ago,$615k
